subject_id,session_id,age,sex,site,breed,weight (kg),global_estimated_ICV_mm3,global_total_subcortical_vol_mm3,subvol_Cornea,subvol_R_Accumbens_area,subvol_R_Amygdala,subvol_R_Caudate,subvol_R_Cerebellum_Cortex,subvol_R_Cerebellum_White_Matter,subvol_R_Cerebral_Cortex,subvol_R_Cerebral_White_Matter,subvol_R_Claustrum,subvol_R_Hippocampus,subvol_R_Lateral_Ventricle,subvol_R_Pallidum,subvol_R_Putamen,subvol_R_Substancia_Nigra,subvol_R_Thalamus_Proper,subvol_R_VentralDC,subvol_T_Accumbens_area,subvol_T_Amygdala,subvol_T_Caudate,subvol_T_Cerebellum_Cortex,subvol_T_Cerebellum_White_Matter,subvol_T_Cerebral_Cortex,subvol_T_Cerebral_White_Matter,subvol_T_Claustrum,subvol_T_Cornea,subvol_T_Hippocampus,subvol_T_Lateral_Ventricle,subvol_T_Pallidum,subvol_T_Putamen,subvol_T_Substancia_Nigra,subvol_T_Thalamus_Proper,subvol_T_VentralDC
sub-032217,ses-001,5.0,M,ohsu,Macaca mulatta,,100205.125,8629.625,194.375,106.625,289.875,734.375,2604.875,1474.625,21248.0,10897.75,266.125,494.5,461.5,396.625,844.75,106.25,1137.125,241.125,209.625,570.125,1438.0,5363.625,2999.5,42479.375,21705.0,519.5,194.375,992.875,943.375,783.5,1683.5,210.75,2267.75,473.5
sub-032217,ses-002,5.0,M,ohsu,Macaca mulatta,,100420.875,8672.625,206.5,105.25,288.125,730.25,2581.0,1469.875,21332.375,10969.75,256.25,494.875,450.5,395.125,862.625,107.125,1139.25,236.75,217.875,573.5,1431.25,5347.125,3013.875,42577.125,21792.5,505.0,206.5,997.375,932.25,778.625,1708.125,212.375,2279.625,473.875
sub-032217,ses-003,5.0,M,ohsu,Macaca mulatta,,100359.625,8623.5,201.0,107.875,292.25,728.875,2602.5,1488.5,21343.5,10926.875,252.875,491.25,447.375,388.375,848.375,109.125,1119.875,239.0,217.75,573.0,1424.0,5354.25,3014.625,42625.75,21680.75,500.125,201.0,1000.5,920.75,768.875,1695.5,215.5,2252.0,476.375
sub-032217,ses-004,5.0,M,ohsu,Macaca mulatta,,100250.375,8656.125,203.625,108.875,291.625,738.0,2610.875,1490.0,21270.125,10901.75,254.5,502.875,452.5,388.375,851.0,109.5,1136.5,234.75,215.75,576.75,1428.625,5381.5,3007.75,42457.875,21678.25,513.5,203.625,1010.875,929.375,772.0,1691.25,213.625,2271.875,475.375
sub-032217,ses-005,5.0,M,ohsu,Macaca mulatta,,101231.5,8703.5,201.125,108.125,292.625,738.5,2626.75,1487.875,21442.375,11000.0,255.25,494.0,462.25,399.0,857.375,107.5,1147.75,237.875,216.5,577.375,1439.875,5465.0,3049.125,42877.625,21923.0,511.375,201.125,993.625,941.75,792.0,1704.25,217.625,2291.75,470.5
sub-032217,ses-006,5.0,M,ohsu,Macaca mulatta,,100914.375,8692.125,199.25,106.375,291.875,738.5,2619.25,1491.25,21445.0,10995.75,250.125,503.875,443.5,394.75,857.0,110.25,1138.5,239.625,211.25,578.875,1433.25,5426.25,3050.25,42771.75,21862.0,505.375,199.25,1002.125,916.5,785.25,1700.625,220.125,2282.375,478.25
sub-032217,ses-007,5.0,M,ohsu,Macaca mulatta,,100904.875,8718.75,204.5,110.0,292.375,745.5,2621.625,1470.875,21409.875,11014.875,255.0,500.625,459.875,397.0,855.0,109.5,1141.375,240.375,216.625,570.125,1450.625,5403.125,3006.0,42708.75,21932.375,504.875,204.5,1012.375,953.5,785.0,1704.625,218.625,2278.25,482.5
sub-032217,ses-008,5.0,M,ohsu,Macaca mulatta,,101498.25,8734.375,207.0,109.375,291.875,749.0,2605.125,1513.375,21577.625,11043.625,263.5,512.625,460.375,393.375,856.125,109.625,1145.0,239.5,218.625,569.625,1448.625,5413.5,3065.75,43092.375,21977.625,514.25,207.0,1016.625,956.875,785.25,1712.125,221.0,2288.25,474.25
sub-032218,ses-001,5.0,M,ohsu,Macaca mulatta,,87490.75,7107.75,210.125,87.75,232.0,514.0,2490.125,1344.125,18297.125,9581.375,226.75,415.25,392.125,304.875,730.25,85.625,1010.0,202.875,180.25,460.875,1000.5,5141.375,2741.0,36610.5,19117.125,454.5,210.125,803.875,820.625,610.5,1451.25,171.5,2020.875,408.125
sub-032218,ses-002,5.0,M,ohsu,Macaca mulatta,,87038.5,7106.125,207.0,86.75,230.125,520.25,2471.25,1344.875,18187.125,9507.25,232.125,414.625,383.25,303.5,727.125,84.875,1019.5,205.75,178.375,456.5,1006.875,5131.0,2729.25,36378.25,19029.625,450.125,207.0,796.625,805.0,614.625,1447.5,167.75,2026.75,411.125
sub-032218,ses-003,5.0,M,ohsu,Macaca mulatta,,87682.125,7138.625,208.625,88.125,233.75,520.375,2474.25,1333.625,18345.125,9602.625,223.375,413.5,385.5,312.375,725.875,84.875,1014.125,209.75,182.625,465.875,1005.625,5134.625,2723.5,36701.0,19173.75,451.625,208.625,800.875,812.75,625.875,1443.0,170.875,2026.625,417.25
